083946,30.1,56.0,73.1,26.4,26.0,26.2
083947,30.1,56.0,73.1,26.4,26.0,26.2
083948,30.1,56.0,73.1,26.4,26.0,26.2
083949,30.1,56.0,73.1,26.4,26.0,26.2
083950,30.1,56.0,73.1,26.4,26.0,26.2
083952,30.1,56.0,73.1,26.4,26.0,26.2
083953,30.1,56.0,73.1,26.4,26.0,26.2
083954,30.1,56.0,73.1,26.4,26.0,26.2
083955,30.1,56.0,73.1,26.4,26.0,26.2
083956,30.1,56.0,73.1,26.4,26.0,26.2
083957,30.1,56.0,73.1,26.4,26.0,26.2
083958,30.1,56.0,73.1,26.4,26.0,26.2
083959,30.1,56.0,73.1,26.4,26.0,26.2
084000,30.1,56.0,73.1,26.4,26.0,26.2
084001,30.1,56.0,73.1,26.4,26.0,26.2
084002,30.1,56.0,73.1,26.4,26.0,26.2
084003,30.1,56.0,73.1,26.4,26.0,26.2
084004,30.1,56.0,73.1,26.4,26.0,26.2
084005,30.1,56.0,73.1,26.4,26.0,26.2
084006,30.1,56.0,73.1,26.4,26.0,26.2
084007,30.1,56.0,73.1,26.4,26.0,26.2
084008,30.1,56.0,73.1,26.4,26.0,26.2
084009,30.1,56.0,73.1,26.4,26.0,26.2
084010,30.1,56.0,73.1,26.4,26.0,26.2
084011,30.1,56.0,73.1,26.4,26.0,26.2
084012,30.1,56.0,73.1,26.4,26.0,26.2
084013,30.1,56.0,73.1,26.4,26.0,26.2
084014,30.1,56.0,73.1,26.4,26.0,26.2
084015,30.1,56.0,73.1,26.4,26.0,26.2
084016,30.1,56.0,73.1,26.4,26.0,26.2
084017,30.1,56.0,73.1,26.4,26.0,26.2
084018,30.1,56.0,73.1,26.4,26.0,26.2
084020,30.1,56.1,73.2,26.4,26.0,26.2
084021,30.1,56.1,73.2,26.4,26.0,26.2
084022,30.1,56.1,73.2,26.4,26.0,26.2
084023,30.1,56.1,73.2,26.4,26.0,26.2
084024,30.1,56.1,73.2,26.4,26.0,26.2
084025,30.1,56.1,73.2,26.4,26.0,26.2
084026,30.1,56.1,73.2,26.4,26.0,26.2
084027,30.1,56.1,73.2,26.4,26.0,26.2
084028,30.1,56.1,73.2,26.4,26.0,26.2
084029,30.1,56.1,73.2,26.4,26.0,26.2
084030,30.1,56.1,73.2,26.4,26.0,26.2
084031,30.1,56.1,73.2,26.4,26.0,26.2
084032,30.1,56.1,73.2,26.4,26.0,26.2
084033,30.1,56.1,73.2,26.4,26.0,26.2
084034,30.1,56.1,73.2,26.4,26.0,26.2
084035,30.1,56.1,73.2,26.4,26.0,26.2
