115531,2.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115532,632.0,631.0
115533,632.0,631.0
115533,632.0,631.0
115533,632.0,631.0
115533,632.0,631.0
115533,632.0,631.0
115533,632.0,631.0
115533,632.0,631.0
115533,632.0,631.0
115533,632.0,631.0
115533,632.0,631.0
115533,632.0,631.0
115533,632.0,631.0
115533,591.0,617.0
115533,591.0,615.0
115533,594.0,617.0
115533,598.0,620.0
115533,599.0,618.0
115533,597.0,612.0
115533,598.0,610.0
115533,599.0,602.0
115533,598.0,605.0
115534,601.0,608.0
115534,605.0,607.0
115534,610.0,607.0
115534,610.0,608.0
115534,613.0,609.0
115534,616.0,606.0
115534,616.0,605.0
115534,616.0,604.0
115534,616.0,604.0
115534,616.0,603.0
115534,610.0,604.0
115534,604.0,602.0
115534,600.0,608.0
115534,600.0,601.0
115534,589.0,625.0
115534,313.0,604.0
115534,276.0,564.0
115534,263.0,428.0
115535,305.0,217.0
115535,296.0,229.0
115535,297.0,590.0
115535,575.0,615.0
115535,600.0,601.0
115535,601.0,588.0
115535,600.0,579.0
115535,605.0,575.0
115535,581.0,595.0
115535,604.0,619.0
115535,619.0,629.0
115535,629.0,629.0
115535,627.0,629.0
115535,625.0,628.0
115535,589.0,579.0
115535,603.0,597.0
115535,604.0,613.0
115535,564.0,614.0
115535,489.0,610.0
115535,401.0,608.0
115535,441.0,595.0
115535,345.0,576.0
115536,254.0,491.0
115536,259.0,479.0
115536,225.0,321.0
115536,212.0,321.0
115536,210.0,376.0
115536,318.0,524.0
115536,342.0,602.0
115536,569.0,615.0
115536,599.0,612.0
115536,604.0,593.0
115536,608.0,584.0
115536,605.0,618.0
115536,630.0,629.0
